
time 01h 09m 00s, episodes 3354, frames 14.6 M, mean_epr -14.38, run_loss -113.66
time 01h 10m 00s, episodes 3378, frames 14.8 M, mean_epr -14.28, run_loss -120.54
time 01h 11m 00s, episodes 3400, frames 15.0 M, mean_epr -13.87, run_loss -119.65
time 01h 12m 00s, episodes 3423, frames 15.2 M, mean_epr -13.98, run_loss -123.98
time 01h 13m 00s, episodes 3446, frames 15.4 M, mean_epr -13.91, run_loss -125.36
time 01h 14m 00s, episodes 3467, frames 15.6 M, mean_epr -13.51, run_loss -127.41
time 01h 15m 00s, episodes 3488, frames 15.9 M, mean_epr -13.15, run_loss -128.03

	16M frames: saved model

time 01h 16m 00s, episodes 3509, frames 16.1 M, mean_epr -12.78, run_loss -128.23
time 01h 17m 01s, episodes 3531, frames 16.3 M, mean_epr -12.08, run_loss -130.11
time 01h 18m 01s, episodes 3556, frames 16.5 M, mean_epr -11.69, run_loss -133.71
time 01h 19m 01s, episodes 3577, frames 16.7 M, mean_epr -11.01, run_loss -135.14
time 01h 20m 01s, episodes 3599, frames 16.9 M, mean_epr -10.35, run_loss -135.90
time 01h 21m 01s, episodes 3619, frames 17.1 M, mean_epr -9.81, run_loss -135.47
time 01h 22m 01s, episodes 3639, frames 17.4 M, mean_epr -9.41, run_loss -138.42
time 01h 23m 01s, episodes 3660, frames 17.6 M, mean_epr -9.18, run_loss -136.14
time 01h 24m 01s, episodes 3683, frames 17.8 M, mean_epr -8.90, run_loss -139.48
time 01h 25m 01s, episodes 3705, frames 18.0 M, mean_epr -8.71, run_loss -138.53

	18M frames: saved model

time 01h 26m 01s, episodes 3727, frames 18.2 M, mean_epr -8.68, run_loss -143.04
time 01h 27m 01s, episodes 3748, frames 18.4 M, mean_epr -8.29, run_loss -138.61
time 01h 28m 01s, episodes 3768, frames 18.6 M, mean_epr -8.20, run_loss -143.56
time 01h 29m 01s, episodes 3790, frames 18.8 M, mean_epr -8.52, run_loss -144.07
time 01h 30m 01s, episodes 3812, frames 19.1 M, mean_epr -8.23, run_loss -142.15
time 01h 31m 01s, episodes 3834, frames 19.3 M, mean_epr -8.26, run_loss -144.56
time 01h 32m 01s, episodes 3856, frames 19.5 M, mean_epr -7.63, run_loss -144.11
time 01h 33m 01s, episodes 3876, frames 19.7 M, mean_epr -7.36, run_loss -145.73
time 01h 34m 01s, episodes 3898, frames 19.9 M, mean_epr -7.23, run_loss -146.18

	20M frames: saved model

time 01h 35m 01s, episodes 3920, frames 20.1 M, mean_epr -7.20, run_loss -145.98
time 01h 36m 01s, episodes 3939, frames 20.3 M, mean_epr -7.09, run_loss -146.15
time 01h 37m 01s, episodes 3962, frames 20.6 M, mean_epr -6.50, run_loss -146.24
time 01h 38m 01s, episodes 3984, frames 20.8 M, mean_epr -6.16, run_loss -145.27
time 01h 39m 01s, episodes 4006, frames 21.0 M, mean_epr -5.94, run_loss -146.63
time 01h 40m 01s, episodes 4028, frames 21.2 M, mean_epr -5.91, run_loss -150.02
time 01h 41m 01s, episodes 4048, frames 21.4 M, mean_epr -5.59, run_loss -149.08
time 01h 42m 01s, episodes 4069, frames 21.6 M, mean_epr -5.44, run_loss -147.32
time 01h 43m 01s, episodes 4090, frames 21.8 M, mean_epr -5.25, run_loss -148.71

	22M frames: saved model

time 01h 44m 01s, episodes 4113, frames 22.1 M, mean_epr -5.24, run_loss -154.28
time 01h 45m 01s, episodes 4136, frames 22.3 M, mean_epr -4.78, run_loss -150.48
time 01h 46m 01s, episodes 4157, frames 22.5 M, mean_epr -4.90, run_loss -154.13
time 01h 47m 01s, episodes 4177, frames 22.7 M, mean_epr -4.83, run_loss -153.86
time 01h 48m 01s, episodes 4198, frames 22.9 M, mean_epr -4.77, run_loss -150.61
time 01h 49m 01s, episodes 4221, frames 23.1 M, mean_epr -4.63, run_loss -154.67
time 01h 50m 01s, episodes 4241, frames 23.3 M, mean_epr -4.17, run_loss -154.50
time 01h 51m 01s, episodes 4259, frames 23.5 M, mean_epr -4.17, run_loss -153.04
time 01h 52m 01s, episodes 4280, frames 23.8 M, mean_epr -3.86, run_loss -151.23
time 01h 53m 01s, episodes 4304, frames 24.0 M, mean_epr -3.78, run_loss -156.53

	24M frames: saved model

time 01h 54m 01s, episodes 4324, frames 24.2 M, mean_epr -3.32, run_loss -157.11
time 01h 55m 01s, episodes 4344, frames 24.4 M, mean_epr -2.96, run_loss -156.69
time 01h 56m 01s, episodes 4365, frames 24.6 M, mean_epr -3.12, run_loss -156.94
time 01h 57m 01s, episodes 4388, frames 24.8 M, mean_epr -2.69, run_loss -159.55
time 01h 58m 01s, episodes 4411, frames 25.0 M, mean_epr -2.76, run_loss -158.50
time 01h 59m 01s, episodes 4431, frames 25.2 M, mean_epr -2.76, run_loss -159.83
time 02h 00m 01s, episodes 4451, frames 25.5 M, mean_epr -2.56, run_loss -157.32
time 02h 01m 01s, episodes 4472, frames 25.7 M, mean_epr -2.55, run_loss -158.41
time 02h 02m 01s, episodes 4495, frames 25.9 M, mean_epr -2.26, run_loss -159.01

	26M frames: saved model

time 02h 03m 01s, episodes 4517, frames 26.1 M, mean_epr -2.32, run_loss -160.80
time 02h 04m 01s, episodes 4538, frames 26.3 M, mean_epr -2.40, run_loss -161.10
time 02h 05m 01s, episodes 4559, frames 26.5 M, mean_epr -2.23, run_loss -162.45
time 02h 06m 01s, episodes 4583, frames 26.7 M, mean_epr -2.20, run_loss -163.53
time 02h 07m 01s, episodes 4603, frames 26.9 M, mean_epr -2.25, run_loss -164.42
time 02h 08m 01s, episodes 4623, frames 27.2 M, mean_epr -2.31, run_loss -165.30
time 02h 09m 01s, episodes 4643, frames 27.4 M, mean_epr -2.36, run_loss -165.51
time 02h 10m 01s, episodes 4662, frames 27.6 M, mean_epr -2.34, run_loss -166.04
time 02h 11m 01s, episodes 4684, frames 27.8 M, mean_epr -1.77, run_loss -165.04

	28M frames: saved model

time 02h 12m 01s, episodes 4706, frames 28.0 M, mean_epr -1.51, run_loss -165.58
time 02h 13m 01s, episodes 4728, frames 28.2 M, mean_epr -1.64, run_loss -166.88
time 02h 14m 01s, episodes 4747, frames 28.4 M, mean_epr -1.36, run_loss -168.68
time 02h 15m 01s, episodes 4770, frames 28.6 M, mean_epr -0.95, run_loss -165.87
time 02h 16m 01s, episodes 4790, frames 28.9 M, mean_epr -0.86, run_loss -166.47
time 02h 17m 01s, episodes 4813, frames 29.1 M, mean_epr -0.41, run_loss -169.41
time 02h 18m 02s, episodes 4833, frames 29.3 M, mean_epr -0.06, run_loss -168.43
time 02h 19m 02s, episodes 4855, frames 29.5 M, mean_epr 0.03, run_loss -169.30
time 02h 20m 02s, episodes 4876, frames 29.7 M, mean_epr 0.09, run_loss -170.88
time 02h 21m 02s, episodes 4898, frames 29.9 M, mean_epr 0.24, run_loss -170.07

	30M frames: saved model

time 02h 22m 02s, episodes 4920, frames 30.1 M, mean_epr 0.10, run_loss -170.73
time 02h 23m 02s, episodes 4941, frames 30.3 M, mean_epr -0.13, run_loss -171.56
time 02h 24m 02s, episodes 4960, frames 30.5 M, mean_epr 0.01, run_loss -170.12
time 02h 25m 02s, episodes 4982, frames 30.8 M, mean_epr -0.13, run_loss -171.64
time 02h 26m 02s, episodes 5003, frames 31.0 M, mean_epr -0.08, run_loss -171.09
time 02h 27m 02s, episodes 5023, frames 31.2 M, mean_epr -0.31, run_loss -171.97
time 02h 28m 02s, episodes 5043, frames 31.4 M, mean_epr -0.37, run_loss -173.08
time 02h 29m 02s, episodes 5066, frames 31.6 M, mean_epr -0.49, run_loss -175.03
time 02h 30m 02s, episodes 5086, frames 31.8 M, mean_epr -0.33, run_loss -171.78

	32M frames: saved model

time 02h 31m 02s, episodes 5106, frames 32.0 M, mean_epr -0.37, run_loss -172.57
time 02h 32m 02s, episodes 5127, frames 32.2 M, mean_epr -0.35, run_loss -171.43
time 02h 33m 02s, episodes 5150, frames 32.4 M, mean_epr -0.16, run_loss -170.97
